Rk,Age,Name, Pos, GP, G, A, P, PIM, +/-, PPG, SHG, GWG, G/GP, A/GP, P/GP,
1,30,Mario Lemieux,F,70,69,92,161,54,10,31,8,8,0.986,1.314,2.300,
2,23,Jaromir Jagr,F,82,62,87,149,96,31,20,1,12,0.756,1.061,1.817,
3,26,Joe Sakic,F,82,51,69,120,44,14,17,6,7,0.622,0.841,1.463,
4,32,Ron Francis,F,77,27,92,119,56,25,12,1,4,0.351,1.195,1.545,
5,22,Peter Forsberg,F,82,30,86,116,47,26,7,3,3,0.366,1.049,1.415,
6,22,Eric Lindros,F,73,47,68,115,163,26,15,0,4,0.644,0.932,1.575,
7,21,Paul Kariya,F,82,50,58,108,20,9,20,3,9,0.610,0.707,1.317,
8,25,Teemu Selanne,F,79,40,68,108,22,5,9,1,5,0.506,0.861,1.367,
9,26,Alexander Mogilny,F,79,55,52,107,16,14,10,5,6,0.696,0.658,1.354,
10,26,Sergei Fedorov,F,78,39,68,107,48,49,11,3,11,0.500,0.872,1.372,
11,24,Doug Weight,F,82,25,79,104,95,-19,9,0,2,0.305,0.963,1.268,
12,34,Wayne Gretzky,F,80,23,79,102,34,-13,6,1,3,0.288,0.988,1.275,
13,34,Mark Messier,F,74,47,52,99,122,29,14,1,5,0.635,0.703,1.338,
14,24,Petr Nedved,F,80,45,54,99,68,37,8,1,5,0.563,0.675,1.238,
15,23,Keith Tkachuk,F,76,50,48,98,156,11,20,2,6,0.658,0.632,1.289,
16,26,John Leclair,F,82,51,46,97,64,21,19,0,10,0.622,0.561,1.183,
17,27,Theoren Fleury,F,80,46,50,96,112,17,17,5,4,0.575,0.625,1.200,
18,26,Pierre Turgeon,F,80,38,58,96,44,19,17,1,6,0.475,0.725,1.200,
19,30,Steve Yzerman,F,80,36,59,95,64,29,16,2,8,0.450,0.738,1.188,
20,28,Vincent Damphousse,F,80,38,56,94,158,5,11,4,3,0.475,0.700,1.175,
21,33,Adam Oates,F,70,25,67,92,18,16,7,1,2,0.357,0.957,1.314,
22,30,Pat Lafontaine,F,76,40,51,91,36,-8,15,3,7,0.526,0.671,1.197,
